Zeitraum,gaeste_ankuenfte,uebernachtungen,durchschnittl_aufenthaltsdauer_Tage
Sommer_1991,122883,254522,2.07
Winter_1991-92,90016,181349,2.01
Sommer_1992,116379,253281,2.18
Winter_1992-93,78838,158918,2.02
Sommer_1993,110619,236326,2.14
Winter_1993-94,75409,159882,2.12
Sommer_1994,112358,239034,2.13
Winter_1994-95,78842,176584,2.24
Sommer_1995,116638,255216,2.19
Winter_1995-96,82325,173438,2.11
Sommer_1996,115688,239727,2.07
Winter_1996-97,83858,159837,1.91
Sommer_1997,121593,236839,1.95
Winter_1997-98,87329,164462,1.88
Sommer_1998,122024,237800,1.95
Winter_1998-99,87092,157255,1.81
Sommer_1999,121806,232623,1.91
Winter_1999-00,92012,162664,1.77
Sommer_2000,127159,247603,1.95
Winter_2000-01,91383,170499,1.87
Sommer_2001,132011,250058,1.89
Winter_2001-02,94376,172083,1.82
Sommer_2002,130211,248723,1.91
Winter_2002-03,91230,167402,1.83
Sommer_2003,132592,260399,1.96
Winter_2003-04,88636,171878,1.94
Sommer_2004,128829,256136,1.99
Winter_2004-05,88352,165605,1.87
Sommer_2005,147214,296234,2.01
Winter_2005-06,90977,173557,1.91
Sommer_2006,149661,296570,1.98
Winter_2006-07,101985,194161,1.9
Sommer_2007,150391,287538,1.91
Winter_2007-08,103413,195186,1.89
Sommer_2008,155195,303210,1.95
Winter_2008-09,91934,184459,2.01
Sommer_2009,157999,304736,1.93
Winter_2009-10,100476,186844,1.86
Sommer_2010,169323,328434,1.94
Winter_2010-11,109241,209573,1.92
Sommer_2011,185648,350090,1.89
Winter_2011-12,112498,216579,1.93
Sommer_2012,187665,357911,1.91
Winter_2012-13,115804,226757,1.96
Sommer_2013,191442,380578,1.99
Winter_2013-14,126106,256328,2.03
Sommer_2014,197935,387917,1.96
Winter_2014-15,131496,267804,2.04
Sommer_2015,207055,407366,1.97
Winter_2015-16,136701,265111,1.94
Sommer_2016,215271,405897,1.89
Winter_2016-17,140382,277684,1.99
Sommer_2017,214514,432753,2.01
Winter_2017-18,148248,314426,2.0
Sommer_2018,234519,480515,2.01
Winter_2018-19,157853,343779,2.2
Sommer_2019,254717,515806,2.03
