Jahr,Passagiere_ins_abs,pas_faehrverkehr_absolut,pas_faehrverkehr_relativ,pas_ausflugsverkehr_absolut,pas_ausflugsverkehr_relativ,pas_kreuzfahrt_absolut,pas_kreuzfahrt_relativ,anzahl_Kreuzfahrtschiff_absolut
1989,2085975,1650365,79.1,435610,20.9,.,,.
1990,2218699,1758481,79.3,442190,19.9,18028,0.8,32
1991,2241673,1800188,80.3,417326,18.6,24159,1.1,41
1992,2286657,1880993,82.3,388744,17.0,16920,0.7,25
1993,2244308,1913524,85.3,297462,13.3,33322,1.5,48
1994,2310185,2002954,86.7,262831,11.4,44400,1.9,66
1995,2276868,1968469,86.5,271751,11.9,36648,1.6,59
1996,2130943,1869800,87.7,240107,11.3,21036,1.0,36
1997,2181097,1909560,87.6,251553,11.5,19984,0.9,33
1998,2117957,1829412,86.4,238262,11.2,50283,2.4,58
1999 1,1395396,1188057,85.1,166947,12.0,40392,2.9,48
2000,1148401,1046908,91.2,53460,4.7,48033,4.2,47
2001,1186704,1054977,88.9,80599,6.8,51128,4.3,72
2002,1223401,1077367,88.1,80094,6.5,65940,5.4,74
2003,1285185,1123120,87.4,68893,5.4,93172,7.2,80
2004,1302711,1099142,84.4,74965,5.8,128604,9.9,95
2005,1562937,1344744,86.0,86409,5.5,131784,8.4,90
2006,1557340,1323307,85.0,79785,5.1,154248,9.9,93
2007,1641559,1380945,84.1,87677,5.3,172937,10.5,114
2008,1848920,1536721,83.1,90069,4.9,222130,12.0,125
2009,1878112,1491097,79.4,95627,5.1,291388,15.5,115
2010,1974121,1551510,78.6,81074,4.1,341537,17.3,136
2011,1936214,1497726,77.4,61283,3.2,377205,19.5,120
2012,1988520,1568664,78.9,71676,3.6,348180,17.5,137
2013,1996165,1576718,79.0,55971,2.8,363476,18.2,128
2014,2035906,1623741,79.8,58115,2.9,354050,17.4,127
2015,2076343,1557343,75.0,60848,2.9,458152,22.1,132
2016,2142211,1599375,74.7,57339,2.7,485497,22.7,147
2017,2159146,1603483,74.3,41757,1.9,513906,23.8,143
2018,2248318,1607029,71.5,42617,1.9,598672,26.6,169
2019,2426959,1588467,65.5,35431,1.5,803061,33.1,174
