Datum;Ferien
10.05.2013;1
24.06.2013;1
25.06.2013;1
26.06.2013;1
27.06.2013;1
28.06.2013;1
29.06.2013;1
30.06.2013;1
01.07.2013;1
02.07.2013;1
03.07.2013;1
04.07.2013;1
05.07.2013;1
06.07.2013;1
07.07.2013;1
08.07.2013;1
09.07.2013;1
10.07.2013;1
11.07.2013;1
12.07.2013;1
13.07.2013;1
14.07.2013;1
15.07.2013;1
16.07.2013;1
17.07.2013;1
18.07.2013;1
19.07.2013;1
20.07.2013;1
21.07.2013;1
22.07.2013;1
23.07.2013;1
24.07.2013;1
25.07.2013;1
26.07.2013;1
27.07.2013;1
28.07.2013;1
29.07.2013;1
30.07.2013;1
31.07.2013;1
01.08.2013;1
02.08.2013;1
03.08.2013;1
04.10.2013;1
05.10.2013;1
06.10.2013;1
07.10.2013;1
08.10.2013;1
09.10.2013;1
10.10.2013;1
11.10.2013;1
12.10.2013;1
13.10.2013;1
14.10.2013;1
15.10.2013;1
16.10.2013;1
17.10.2013;1
18.10.2013;1
23.12.2013;1
24.12.2013;1
25.12.2013;1
26.12.2013;1
27.12.2013;1
28.12.2013;1
29.12.2013;1
30.12.2013;1
31.12.2013;1
01.01.2014;1
02.01.2014;1
03.01.2014;1
04.01.2014;1
05.01.2014;1
06.01.2014;1
16.04.2014;1
17.04.2014;1
18.04.2014;1
19.04.2014;1
20.04.2014;1
21.04.2014;1
22.04.2014;1
23.04.2014;1
24.04.2014;1
25.04.2014;1
26.04.2014;1
27.04.2014;1
28.04.2014;1
29.04.2014;1
30.04.2014;1
01.05.2014;1
02.05.2014;1
30.05.2014;1
14.07.2014;1
15.07.2014;1
16.07.2014;1
17.07.2014;1
18.07.2014;1
19.07.2014;1
20.07.2014;1
21.07.2014;1
22.07.2014;1
23.07.2014;1
24.07.2014;1
25.07.2014;1
26.07.2014;1
27.07.2014;1
28.07.2014;1
29.07.2014;1
30.07.2014;1
31.07.2014;1
01.08.2014;1
02.08.2014;1
03.08.2014;1
04.08.2014;1
05.08.2014;1
06.08.2014;1
07.08.2014;1
08.08.2014;1
09.08.2014;1
10.08.2014;1
11.08.2014;1
12.08.2014;1
13.08.2014;1
14.08.2014;1
15.08.2014;1
16.08.2014;1
17.08.2014;1
18.08.2014;1
19.08.2014;1
20.08.2014;1
21.08.2014;1
22.08.2014;1
23.08.2014;1
13.10.2014;1
14.10.2014;1
15.10.2014;1
16.10.2014;1
17.10.2014;1
18.10.2014;1
19.10.2014;1
20.10.2014;1
21.10.2014;1
22.10.2014;1
23.10.2014;1
24.10.2014;1
25.10.2014;1
22.12.2014;1
23.12.2014;1
24.12.2014;1
25.12.2014;1
26.12.2014;1
27.12.2014;1
28.12.2014;1
29.12.2014;1
30.12.2014;1
31.12.2014;1
01.01.2015;1
02.01.2015;1
03.01.2015;1
04.01.2015;1
05.01.2015;1
06.01.2015;1
01.04.2015;1
02.04.2015;1
03.04.2015;1
04.04.2015;1
05.04.2015;1
06.04.2015;1
07.04.2015;1
08.04.2015;1
09.04.2015;1
10.04.2015;1
11.04.2015;1
12.04.2015;1
13.04.2015;1
14.04.2015;1
15.04.2015;1
16.04.2015;1
17.04.2015;1
