id,umsatz
1808011,152.84708
1808021,155.45576
1808031,153.96199
1808041,142.24097
1808051,111.5095
1808061,152.28381
1808071,142.52701
1808081,144.81976
1808091,151.83096
1808101,154.57553
1808111,151.4383
1808121,108.16512
1808131,143.1435
1808141,148.61258
1808151,149.85489
1808161,150.85968
1808171,155.60063
1808181,145.77434
1808191,107.04548
1808201,143.43677
1808211,149.35654
1808221,148.96985
1808231,155.56732
1808241,154.5925
1808251,140.83319
1808261,125.01408
1808271,144.96686
1808281,145.21687
1808291,154.31352
1808301,151.32755
1808311,163.05093
1809011,131.38928
1809021,100.85302
1809031,136.66371
1809041,136.33424
1809051,138.56511
1809061,142.73628
1809071,145.54039
1809081,134.7615
1809091,101.90234
1809101,139.56662
1809111,138.87299
1809121,140.43884
1809131,140.88312
1809141,146.68591
1809151,133.8127
1809161,102.44781
1809171,137.21304
1809181,136.17726
1809191,136.59079
1809201,139.26535
1809211,145.45847
1809221,142.5728
1809231,106.518745
1809241,141.02388
1809251,142.91446
1809261,141.38283
1809271,152.07376
1809281,154.38885
1809291,142.66832
1809301,129.4489
1810011,127.9567
1810021,128.04611
1810031,127.71445
1810041,132.32243
1810051,140.88855
1810061,126.27656
1810071,102.17286
1810081,135.19351
1810091,133.90944
1810101,138.47064
1810111,141.74457
1810121,143.50739
1810131,133.94908
1810141,105.93871
1810151,141.79951
1810161,137.26245
1810171,140.57547
1810181,132.42113
1810191,132.92528
1810201,135.91905
1810211,107.0144
1810221,131.14304
1810231,129.58498
1810241,131.7215
1810251,137.36475
1810261,134.96306
1810271,133.08585
1810281,123.10432
1810291,132.21732
1810301,133.59073
1811011,125.71809
1811021,128.07808
1811031,118.163
1811041,100.3115
1811051,119.415825
1811061,119.8667
1811071,131.24399
1811081,126.65151
1811091,127.98789
1811101,125.80042
1811111,100.31132
1811121,124.42284
1811131,125.50856
1811141,121.07057
1811151,128.9138
1811161,130.98907
1811171,126.54052
1811181,114.59618
1811191,124.60899
1811201,122.73997
1811211,123.56711
1811221,122.95304
1811231,135.42154
1811241,136.32266
1811251,116.91737
1811261,124.363525
1811271,141.11575
1811281,138.43053
1811291,147.77248
1811301,143.09312
1812011,116.77651
1812021,95.512596
1812031,117.8948
1812041,119.50024
1812051,120.657974
1812061,120.41937
