id,Umsatz
1808011,199.07748
1808021,202.67368
1808031,212.13559
1808041,232.29205
1808051,260.3614
1808061,221.90263
1808071,205.93951
1808081,199.07748
1808091,202.67368
1808101,212.13559
1808111,232.29205
1808121,260.3614
1808131,221.90263
1808141,205.93951
1808151,199.07748
1808161,202.67368
1808171,212.13559
1808181,232.29205
1808191,260.3614
1808201,221.90263
1808211,205.93951
1808221,199.07748
1808231,202.67368
1808241,212.13559
1808251,232.29205
1808261,260.3614
1808271,221.90263
1808281,205.93951
1808291,199.07748
1808301,202.67368
1808311,212.13562
1809011,243.48898
1809021,267.64047
1809031,228.10849
1809041,214.91936
1809051,209.89267
1809061,212.97176
1809071,223.41707
1809081,243.489
1809091,267.64047
1809101,228.10849
1809111,214.91936
1809121,209.89267
1809131,212.97176
1809141,223.41707
1809151,243.489
1809161,267.64047
1809171,228.10849
1809181,214.91936
1809191,209.89267
1809201,212.97176
1809211,223.41707
1809221,243.489
1809231,267.64047
1809241,228.10849
1809251,214.91936
1809261,209.89267
1809271,212.97176
1809281,223.41707
1809291,243.489
1809301,267.64047
1810011,210.55588
1810021,199.9628
1810031,195.6126
1810041,199.50479
1810051,213.39638
1810061,232.61288
1810071,253.7392
1810081,210.55588
1810091,199.96278
1810101,195.61258
1810111,199.50479
1810121,213.39638
1810131,232.61288
1810141,253.7392
1810151,210.55588
1810161,199.96278
1810171,195.61258
1810181,199.50479
1810191,213.39638
1810201,232.61288
1810211,253.7392
1810221,210.55588
1810231,199.96278
1810241,195.61258
1810251,199.50479
1810261,213.39638
1810271,232.61288
1810281,253.7392
1810291,210.55588
1810301,199.96278
1811011,186.99547
1811021,201.55855
1811031,220.06166
1811041,240.4954
1811051,194.35533
1811061,184.59332
1811071,181.91185
1811081,186.99547
1811091,201.55855
1811101,220.06166
1811111,240.49538
1811121,194.35529
1811131,184.59332
1811141,181.91185
1811151,186.99547
1811161,201.55855
1811171,220.06166
1811181,240.49538
1811191,194.35529
1811201,184.59332
1811211,181.91185
1811221,186.99547
1811231,201.55855
1811241,220.06166
1811251,240.49538
1811261,194.35529
1811271,184.59332
1811281,181.91185
1811291,186.99547
1811301,201.55855
1812011,212.09921
1812021,231.74721
1812031,185.92157
1812041,177.12521
1812051,173.99702
1812061,180.33391
1812071,193.79706
1812081,212.09921
1812091,231.74721
1812101,185.92157
1812111,177.12521
1812121,173.99702
1812131,180.33394
1812141,193.79712
1812151,212.09921
1812161,231.74721
1812171,185.92157
1812181,177.12521
1812191,173.99702
1812201,180.33394
1812211,193.79712
1812221,212.09921
1812231,231.74721
1812241,185.92157
1812271,180.33394
1812281,193.79712
1812291,212.09921
1812301,231.74721
1812311,185.92157
1901021,161.47487
1901031,165.13069
1901041,173.01999
1901051,183.1408
1901061,201.7391
1901071,169.13437
1901081,164.05447
1901091,161.47487
1901101,165.1307
1901111,173.02003
1901121,183.1408
1901131,201.7391
1901141,169.13437
1901151,164.05447
1901161,161.47487
1901171,165.13069
1901181,173.01999
1901191,183.1408
1901201,201.7391
1901211,169.13437
1901221,164.05447
1901231,161.47487
1901241,165.13069
1901251,173.01999
1901261,183.1408
1901271,201.7391
1901281,169.13437
1901291,164.05447
1901301,161.47487
1901311,165.13069
