Land,Stadt,Kategorie,Merkmal,Jahr,Faehren,Kreuzfahrer
de-sh,Kiel,transport_verkehr,Passagiere,1988,1.425.427,433514
de-sh,Kiel,transport_verkehr,Passagiere,1989,1.650.365,435610
de-sh,Kiel,transport_verkehr,Passagiere,1990,1.758.481,460218
de-sh,Kiel,transport_verkehr,Passagiere,1991,1.800.188,441485
de-sh,Kiel,transport_verkehr,Passagiere,1992,1.880.993,405664
de-sh,Kiel,transport_verkehr,Passagiere,1993,1.913.524,330784
de-sh,Kiel,transport_verkehr,Passagiere,1994,2.002.954,307231
de-sh,Kiel,transport_verkehr,Passagiere,1995,1.968.469,308399
de-sh,Kiel,transport_verkehr,Passagiere,1996,1.869.800,261143
de-sh,Kiel,transport_verkehr,Passagiere,1997,1.909.560,271537
de-sh,Kiel,transport_verkehr,Passagiere,1998,1.829.412,288545
de-sh,Kiel,transport_verkehr,Passagiere,1999,1.188.057,207339
de-sh,Kiel,transport_verkehr,Passagiere,2000,1.046.908,101493
de-sh,Kiel,transport_verkehr,Passagiere,2001,1.054.977,131727
de-sh,Kiel,transport_verkehr,Passagiere,2002,1.077.367,146034
de-sh,Kiel,transport_verkehr,Passagiere,2003,1.123.120,162065
de-sh,Kiel,transport_verkehr,Passagiere,2004,1.099.142,203569
de-sh,Kiel,transport_verkehr,Passagiere,2005,1.344.744,218193
de-sh,Kiel,transport_verkehr,Passagiere,2006,1.323.307,234033
de-sh,Kiel,transport_verkehr,Passagiere,2007,1.380.945,260614
de-sh,Kiel,transport_verkehr,Passagiere,2008,1.536.721,312199
de-sh,Kiel,transport_verkehr,Passagiere,2009,1.491.097,387015
de-sh,Kiel,transport_verkehr,Passagiere,2010,1.551.510,422611
de-sh,Kiel,transport_verkehr,Passagiere,2011,1.497.726,438488
de-sh,Kiel,transport_verkehr,Passagiere,2012,1.568.664,419856
de-sh,Kiel,transport_verkehr,Passagiere,2013,1.576.718,419447
de-sh,Kiel,transport_verkehr,Passagiere,2014,1.623.741,412165
de-sh,Kiel,transport_verkehr,Passagiere,2015,1.557.343,458152
de-sh,Kiel,transport_verkehr,Passagiere,2016,1.599.375,485497
de-sh,Kiel,transport_verkehr,Passagiere,2017,1.603.483,513906
de-sh,Kiel,transport_verkehr,Passagiere,2018,1.607.029,598672
de-sh,Kiel,transport_verkehr,Passagiere,2019,1.588.467,803061
de-sh,Kiel,transport_verkehr,Passagiere,2020,483.011,34529
de-sh,Kiel,transport_verkehr,Passagiere,2021,633.118,288678
de-sh,Kiel,transport_verkehr,Passagiere,2022,1.482.181,836160
