Datum,Bewoelkung,Temperatur,Windgeschwindigkeit
2013-04-30,3.0,11.116666,15
2013-05-01,0.0,9.9,11
2013-05-02,1.0,11.0375,12
2013-05-03,0.0,12.9125,9
2013-05-04,0.0,17.95,18
2013-05-05,3.0,16.2125,10
2013-05-06,0.0,15.675,8
2013-05-07,1.0,17.4125,10
2013-05-08,4.0,18.8125,9
2013-05-09,7.0,16.125,11
2013-05-10,5.0,15.5,12
2013-05-11,7.0,15.4125,11
2013-05-12,7.0,11.7125,12
2013-05-13,7.0,11.4375,10
2013-05-14,5.0,12.6,10
2013-05-15,4.0,20.5375,10
2013-05-16,0.0,16.1625,13
2013-05-17,0.0,21.3125,11
2013-05-18,7.0,13.85,12
2013-05-19,8.0,13.05,5
2013-05-20,7.0,15.775,8
2013-05-21,7.0,12.525,9
2013-05-22,7.0,9.0625,23
2013-05-23,5.0,10.525,8
2013-05-24,5.0,12.5,8
2013-05-25,7.0,11.3375,11
2013-05-26,7.0,14.1625,15
2013-05-27,6.0,14.7875,10
2013-05-28,6.0,15.4,10
2013-05-29,7.0,13.6625,14
2013-05-30,4.0,16.125,11
2013-05-31,3.0,17.65,12
2013-06-01,3.0,20.3875,10
2013-06-02,2.0,14.975,18
2013-06-03,0.0,17.35,13
2013-06-04,3.0,17.1625,15
2013-06-05,4.0,19.0875,9
2013-06-06,0.0,20.85,12
2013-06-07,0.0,19.7,8
2013-06-08,1.0,16.9625,9
2013-06-09,4.0,15.8875,7
2013-06-10,2.0,17.725,8
2013-06-11,2.0,16.6625,9
2013-06-12,5.0,22.35,7
2013-06-14,2.0,16.7125,16
2013-06-15,6.0,17.0875,27
2013-06-16,7.0,15.5875,16
2013-06-17,0.0,17.9,8
2013-06-18,1.0,20.05,10
2013-06-19,6.0,23.5375,10
2013-06-20,2.0,21.8375,10
2013-06-21,7.0,19.575,14
2013-06-22,6.0,19.7375,10
2013-06-23,6.0,17.5375,10
2013-06-24,7.0,15.95,12
2013-06-25,7.0,15.175,10
2013-06-26,7.0,13.825,18
2013-06-27,7.0,12.55,10
2013-06-28,7.0,13.05,10
2013-06-29,6.0,14.8375,16
2013-06-30,7.0,14.0125,15
2013-07-01,6.0,17.8375,15
2013-07-02,3.0,17.3125,10
2013-07-03,7.0,21.075,6
2013-07-04,7.0,18.85,7
2013-07-05,5.0,19.975,12
2013-07-06,0.0,18.9625,8
2013-07-07,0.0,21.375,9
2013-07-08,0.0,22.725,10
2013-07-09,0.0,23.275,8
2013-07-10,2.0,19.6875,13
2013-07-11,0.0,21.375,12
2013-07-12,0.0,20.2875,7
2013-07-13,1.0,20.125,12
2013-07-14,5.0,17.6875,15
2013-07-15,6.0,18.7375,12
2013-07-16,1.0,21.1875,10
2013-07-17,5.0,22.5125,8
2013-07-18,1.0,23.25,11
2013-07-19,3.0,22.475,16
2013-07-20,0.0,23.1875,8
2013-07-21,0.0,26.375,8
2013-07-22,0.0,26.1,9
2013-07-23,0.0,24.95,12
2013-07-24,3.0,24.075,11
2013-07-25,2.0,23.0875,9
2013-07-26,3.0,27.2625,6
2013-07-27,1.0,26.1625,10
2013-07-28,4.0,24.8875,13
2013-07-29,1.0,22.7875,10
2013-07-30,5.0,21.075,13
