Monat,Temperatur_max,Temperatur_min
1.1.,7,4
2.1.,6,2
3.1.,7,3
4.1.,5,1
5.1.,4,1
6.1.,4,-1
7.1.,4,0
8.1.,4,0
9.1.,3,-1
10.1.,4,0
11.1.,4,0
12.1.,4,1
13.1.,6,2
14.1.,5,2
15.1.,4,1
16.1.,3,-1
17.1.,4,0
18.1.,5,-1
19.1.,4,0
20.1.,4,0
21.1.,5,-1
22.1.,6,3
23.1.,5,2
24.1.,6,2
25.1.,6,1
26.1.,5,1
27.1.,5,1
28.1.,4,-1
29.1.,5,1
30.1.,5,2
31.1.,5,1
1.2.,6,1
2.2.,6,2
3.2.,7,2
4.2.,5,3
5.2.,5,1
6.2.,5,0
7.2.,3,0
8.2.,4,0
9.2.,4,0
10.2.,4,0
11.2.,4,0
12.2.,5,0
13.2.,6,0
14.2.,7,1
15.2.,8,2
16.2.,9,4
17.2.,7,4
18.2.,7,2
19.2.,7,3
20.2.,9,3
21.2.,9,4
22.2.,10,5
23.2.,9,2
24.2.,9,2
25.2.,6,2
26.2.,7,1
27.2.,7,0
28.2.,8,1
1.3.,8,1
2.3.,10,2
3.3.,10,3
4.3.,7,1
5.3.,6,0
6.3.,5,-1
7.3.,6,0
8.3.,7,0
9.3.,7,0
10.3.,8,1
11.3.,8,1
12.3.,7,2
13.3.,10,2
14.3.,9,3
15.3.,9,3
16.3.,9,2
17.3.,10,2
18.3.,9,3
19.3.,10,3
20.3.,10,3
21.3.,9,3
22.3.,9,2
23.3.,10,3
24.3.,10,3
25.3.,10,3
26.3.,11,2
27.3.,11,2
28.3.,10,2
29.3.,9,3
30.3.,11,3
31.3.,11,4
1.4.,9,2
2.4.,7,1
3.4.,8,1
4.4.,8,2
5.4.,9,3
6.4.,12,3
7.4.,11,4
8.4.,12,5
9.4.,11,5
10.4.,10,3
11.4.,9,2
12.4.,12,4
13.4.,12,4
14.4.,10,3
15.4.,10,3
16.4.,10,3
17.4.,11,2
18.4.,12,3
19.4.,11,3
20.4.,11,3
21.4.,11,4
22.4.,12,3
23.4.,13,4
24.4.,10,3
25.4.,10,2
26.4.,10,2
27.4.,12,2
28.4.,12,3
29.4.,12,5
30.4.,14,5
1.5.,14,5
